Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,061078,1961,03,15.5,Y
IDCJAC0004,061078,1961,04,12.8,Y
IDCJAC0004,061078,1961,05,9.3,Y
IDCJAC0004,061078,1961,06,7.6,Y
IDCJAC0004,061078,1961,07,5.5,Y
IDCJAC0004,061078,1961,08,7.4,Y
IDCJAC0004,061078,1961,09,9.0,Y
IDCJAC0004,061078,1961,10,13.5,Y
IDCJAC0004,061078,1961,11,15.9,Y
IDCJAC0004,061078,1961,12,17.1,Y
IDCJAC0004,061078,1962,01,18.3,Y
IDCJAC0004,061078,1962,02,17.9,Y
IDCJAC0004,061078,1962,03,16.0,Y
IDCJAC0004,061078,1962,04,13.1,Y
IDCJAC0004,061078,1962,05,9.7,Y
IDCJAC0004,061078,1962,06,7.4,Y
IDCJAC0004,061078,1962,07,6.5,Y
IDCJAC0004,061078,1962,08,7.0,Y
IDCJAC0004,061078,1962,09,9.3,Y
IDCJAC0004,061078,1962,10,10.9,Y
IDCJAC0004,061078,1962,11,14.1,Y
IDCJAC0004,061078,1962,12,16.6,Y
IDCJAC0004,061078,1963,01,18.1,Y
IDCJAC0004,061078,1963,02,18.5,Y
IDCJAC0004,061078,1963,03,17.9,Y
IDCJAC0004,061078,1963,04,13.6,Y
IDCJAC0004,061078,1963,05,12.4,Y
IDCJAC0004,061078,1963,06,8.5,Y
IDCJAC0004,061078,1963,07,7.2,Y
IDCJAC0004,061078,1963,08,7.7,Y
IDCJAC0004,061078,1963,09,9.1,Y
IDCJAC0004,061078,1963,10,13.0,Y
IDCJAC0004,061078,1963,11,13.9,Y
IDCJAC0004,061078,1963,12,16.6,Y
IDCJAC0004,061078,1964,01,17.8,Y
IDCJAC0004,061078,1964,02,17.6,Y
IDCJAC0004,061078,1964,03,17.6,Y
IDCJAC0004,061078,1964,04,13.3,Y
IDCJAC0004,061078,1964,05,8.9,Y
IDCJAC0004,061078,1964,06,8.2,Y
IDCJAC0004,061078,1964,07,6.6,Y
IDCJAC0004,061078,1964,08,7.3,Y
IDCJAC0004,061078,1964,09,9.9,Y
IDCJAC0004,061078,1964,10,11.2,Y
IDCJAC0004,061078,1964,11,14.3,Y
IDCJAC0004,061078,1964,12,15.0,Y
IDCJAC0004,061078,1965,01,16.1,Y
IDCJAC0004,061078,1965,02,17.4,Y
IDCJAC0004,061078,1965,03,15.0,Y
IDCJAC0004,061078,1965,04,12.2,Y
IDCJAC0004,061078,1965,05,8.9,Y
IDCJAC0004,061078,1965,06,6.2,Y
IDCJAC0004,061078,1965,07,5.5,Y
IDCJAC0004,061078,1965,08,8.0,Y
IDCJAC0004,061078,1965,09,11.6,Y
IDCJAC0004,061078,1965,10,13.6,Y
IDCJAC0004,061078,1965,11,14.4,Y
IDCJAC0004,061078,1965,12,17.1,Y
IDCJAC0004,061078,1966,01,17.4,Y
IDCJAC0004,061078,1966,02,18.0,Y
IDCJAC0004,061078,1966,03,16.1,Y
IDCJAC0004,061078,1966,04,13.8,Y
IDCJAC0004,061078,1966,05,8.6,Y
IDCJAC0004,061078,1966,06,6.5,Y
IDCJAC0004,061078,1966,07,5.6,Y
IDCJAC0004,061078,1966,08,7.0,Y
IDCJAC0004,061078,1966,09,9.4,Y
IDCJAC0004,061078,1966,10,11.9,Y
IDCJAC0004,061078,1966,11,14.7,Y
IDCJAC0004,061078,1966,12,16.6,Y
IDCJAC0004,061078,1967,01,18.4,Y
IDCJAC0004,061078,1967,02,17.9,Y
IDCJAC0004,061078,1967,03,16.2,Y
IDCJAC0004,061078,1967,04,13.9,Y
IDCJAC0004,061078,1967,05,10.2,Y
IDCJAC0004,061078,1967,06,12.2,Y
IDCJAC0004,061078,1967,07,6.7,Y
IDCJAC0004,061078,1967,08,7.2,Y
IDCJAC0004,061078,1967,09,8.8,Y
IDCJAC0004,061078,1967,10,14.4,Y
IDCJAC0004,061078,1967,11,14.3,Y
IDCJAC0004,061078,1967,12,15.5,Y
IDCJAC0004,061078,1968,01,19.2,Y
IDCJAC0004,061078,1968,02,18.7,Y
IDCJAC0004,061078,1968,03,18.0,Y
IDCJAC0004,061078,1968,04,13.9,Y
IDCJAC0004,061078,1968,05,10.4,Y
IDCJAC0004,061078,1968,06,7.4,Y
IDCJAC0004,061078,1968,07,5.8,Y
IDCJAC0004,061078,1968,08,7.3,Y
IDCJAC0004,061078,1968,09,8.8,Y
IDCJAC0004,061078,1968,10,12.5,Y
IDCJAC0004,061078,1968,11,14.8,Y
IDCJAC0004,061078,1968,12,15.8,Y
IDCJAC0004,061078,1969,01,19.7,Y
IDCJAC0004,061078,1969,02,18.4,Y
IDCJAC0004,061078,1969,03,17.4,Y
IDCJAC0004,061078,1969,04,13.1,Y
IDCJAC0004,061078,1969,05,10.7,Y
IDCJAC0004,061078,1969,06,8.1,Y
IDCJAC0004,061078,1969,07,6.0,Y
IDCJAC0004,061078,1969,08,7.6,Y
IDCJAC0004,061078,1969,09,7.6,Y
IDCJAC0004,061078,1969,10,12.7,Y
IDCJAC0004,061078,1969,11,14.2,Y
IDCJAC0004,061078,1969,12,15.6,Y
IDCJAC0004,061078,1970,01,18.0,Y
IDCJAC0004,061078,1970,02,17.8,Y
IDCJAC0004,061078,1970,03,15.0,Y
IDCJAC0004,061078,1970,04,12.4,Y
IDCJAC0004,061078,1970,05,7.9,Y
IDCJAC0004,061078,1970,06,7.4,Y
IDCJAC0004,061078,1970,07,2.5,Y
IDCJAC0004,061078,1970,08,5.4,Y
IDCJAC0004,061078,1970,09,7.7,Y
IDCJAC0004,061078,1970,10,11.4,Y
IDCJAC0004,061078,1970,11,13.4,Y
