Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,061078,1995,04,11.6,Y
IDCJAC0001,061078,1995,05,188.4,Y
IDCJAC0001,061078,1995,06,101.6,Y
IDCJAC0001,061078,1995,07,1.8,Y
IDCJAC0001,061078,1995,08,0.0,Y
IDCJAC0001,061078,1995,09,115.2,Y
IDCJAC0001,061078,1995,10,30.0,Y
IDCJAC0001,061078,1995,11,146.8,Y
IDCJAC0001,061078,1995,12,87.8,Y
IDCJAC0001,061078,1996,01,117.8,Y
IDCJAC0001,061078,1996,02,94.6,Y
IDCJAC0001,061078,1996,03,78.6,Y
IDCJAC0001,061078,1996,04,4.6,Y
IDCJAC0001,061078,1996,05,112.0,Y
IDCJAC0001,061078,1996,06,156.6,Y
IDCJAC0001,061078,1996,07,47.4,Y
IDCJAC0001,061078,1996,08,73.4,Y
IDCJAC0001,061078,1996,09,62.0,Y
IDCJAC0001,061078,1996,10,48.0,Y
IDCJAC0001,061078,1996,11,87.0,Y
IDCJAC0001,061078,1996,12,60.4,Y
IDCJAC0001,061078,1997,01,99.2,Y
IDCJAC0001,061078,1997,02,152.2,Y
IDCJAC0001,061078,1997,03,101.8,Y
IDCJAC0001,061078,1997,04,42.2,Y
IDCJAC0001,061078,1997,05,135.4,Y
IDCJAC0001,061078,1997,06,128.2,Y
IDCJAC0001,061078,1997,07,190.4,Y
IDCJAC0001,061078,1997,08,40.8,Y
IDCJAC0001,061078,1997,09,94.6,Y
IDCJAC0001,061078,1997,10,38.8,Y
IDCJAC0001,061078,1997,11,11.2,Y
IDCJAC0001,061078,1997,12,44.4,Y
IDCJAC0001,061078,1998,01,67.0,Y
IDCJAC0001,061078,1998,02,95.6,Y
IDCJAC0001,061078,1998,03,27.6,Y
IDCJAC0001,061078,1998,04,104.8,Y
IDCJAC0001,061078,1998,05,340.0,Y
IDCJAC0001,061078,1998,06,156.8,Y
IDCJAC0001,061078,1998,07,102.8,Y
IDCJAC0001,061078,1998,08,169.0,Y
IDCJAC0001,061078,1998,09,94.4,Y
IDCJAC0001,061078,1998,10,69.2,Y
IDCJAC0001,061078,1998,11,241.4,Y
IDCJAC0001,061078,1998,12,91.6,Y
IDCJAC0001,061078,1999,01,72.2,Y
IDCJAC0001,061078,1999,02,252.0,Y
IDCJAC0001,061078,1999,03,46.6,Y
IDCJAC0001,061078,1999,04,332.2,Y
IDCJAC0001,061078,1999,05,27.6,Y
IDCJAC0001,061078,1999,06,212.0,Y
IDCJAC0001,061078,1999,07,141.8,Y
IDCJAC0001,061078,1999,08,96.2,Y
IDCJAC0001,061078,1999,09,58.8,Y
IDCJAC0001,061078,1999,10,129.2,Y
IDCJAC0001,061078,1999,11,111.8,Y
IDCJAC0001,061078,1999,12,61.0,Y
IDCJAC0001,061078,2000,01,60.8,Y
IDCJAC0001,061078,2000,02,35.4,Y
IDCJAC0001,061078,2000,03,359.8,Y
IDCJAC0001,061078,2000,04,104.6,Y
IDCJAC0001,061078,2000,05,59.2,Y
IDCJAC0001,061078,2000,06,91.6,Y
IDCJAC0001,061078,2000,07,43.8,Y
IDCJAC0001,061078,2000,08,66.8,Y
IDCJAC0001,061078,2000,09,25.8,Y
IDCJAC0001,061078,2000,10,35.8,Y
IDCJAC0001,061078,2000,11,79.0,Y
IDCJAC0001,061078,2000,12,33.0,Y
IDCJAC0001,061078,2001,01,62.2,Y
IDCJAC0001,061078,2001,02,113.2,Y
IDCJAC0001,061078,2001,03,154.2,Y
IDCJAC0001,061078,2001,04,103.8,Y
IDCJAC0001,061078,2001,05,410.2,Y
IDCJAC0001,061078,2001,06,14.6,Y
IDCJAC0001,061078,2001,07,74.2,Y
IDCJAC0001,061078,2001,08,41.2,Y
IDCJAC0001,061078,2001,09,54.0,Y
IDCJAC0001,061078,2001,10,38.0,Y
IDCJAC0001,061078,2001,11,105.4,Y
IDCJAC0001,061078,2001,12,56.0,Y
IDCJAC0001,061078,2002,01,17.2,Y
IDCJAC0001,061078,2002,02,270.4,Y
IDCJAC0001,061078,2002,03,126.0,Y
IDCJAC0001,061078,2002,04,68.0,Y
IDCJAC0001,061078,2002,05,129.0,Y
IDCJAC0001,061078,2002,06,82.8,Y
IDCJAC0001,061078,2002,07,36.6,Y
IDCJAC0001,061078,2002,08,61.2,Y
IDCJAC0001,061078,2002,09,45.2,Y
IDCJAC0001,061078,2002,10,7.0,Y
IDCJAC0001,061078,2002,11,38.4,Y
IDCJAC0001,061078,2002,12,171.8,Y
IDCJAC0001,061078,2003,01,9.6,Y
IDCJAC0001,061078,2003,02,74.6,Y
IDCJAC0001,061078,2003,03,58.0,Y
IDCJAC0001,061078,2003,04,167.8,Y
IDCJAC0001,061078,2003,05,178.8,Y
IDCJAC0001,061078,2003,06,29.8,Y
IDCJAC0001,061078,2003,07,94.6,Y
IDCJAC0001,061078,2003,08,50.0,Y
IDCJAC0001,061078,2003,09,0.4,Y
IDCJAC0001,061078,2003,10,74.4,Y
IDCJAC0001,061078,2003,11,115.0,Y
IDCJAC0001,061078,2003,12,44.8,Y
IDCJAC0001,061078,2004,01,140.8,Y
IDCJAC0001,061078,2004,02,178.6,Y
IDCJAC0001,061078,2004,03,90.8,Y
IDCJAC0001,061078,2004,04,56.6,Y
IDCJAC0001,061078,2004,05,20.6,Y
IDCJAC0001,061078,2004,06,25.6,Y
IDCJAC0001,061078,2004,07,78.6,Y
IDCJAC0001,061078,2004,08,103.6,Y
IDCJAC0001,061078,2004,09,91.2,Y
IDCJAC0001,061078,2004,10,186.4,Y
IDCJAC0001,061078,2004,11,74.6,Y
IDCJAC0001,061078,2004,12,68.4,Y
IDCJAC0001,061078,2005,01,68.4,Y
IDCJAC0001,061078,2005,02,143.0,Y
IDCJAC0001,061078,2005,03,220.8,Y
IDCJAC0001,061078,2005,04,34.6,Y
IDCJAC0001,061078,2005,05,222.4,Y
IDCJAC0001,061078,2005,06,88.4,Y
IDCJAC0001,061078,2005,07,16.6,Y
IDCJAC0001,061078,2005,08,0.8,Y
IDCJAC0001,061078,2005,09,49.8,Y
IDCJAC0001,061078,2005,10,55.8,Y
IDCJAC0001,061078,2005,11,82.0,Y
IDCJAC0001,061078,2005,12,14.4,Y
IDCJAC0001,061078,2006,01,41.2,Y
IDCJAC0001,061078,2006,02,99.8,Y
IDCJAC0001,061078,2006,03,78.0,Y
IDCJAC0001,061078,2006,04,90.4,Y
IDCJAC0001,061078,2006,05,79.4,Y
IDCJAC0001,061078,2006,06,105.0,Y
IDCJAC0001,061078,2006,07,101.8,Y
IDCJAC0001,061078,2006,08,100.2,Y
IDCJAC0001,061078,2006,09,162.2,Y
IDCJAC0001,061078,2006,10,12.8,Y
IDCJAC0001,061078,2006,11,126.8,Y
IDCJAC0001,061078,2006,12,68.6,Y
IDCJAC0001,061078,2007,01,14.8,Y
IDCJAC0001,061078,2007,02,59.2,Y
IDCJAC0001,061078,2007,03,137.6,Y
IDCJAC0001,061078,2007,04,250.4,Y
IDCJAC0001,061078,2007,05,42.6,Y
IDCJAC0001,061078,2007,06,414.2,Y
IDCJAC0001,061078,2007,07,28.0,Y
IDCJAC0001,061078,2007,08,92.8,Y
IDCJAC0001,061078,2007,09,50.8,Y
IDCJAC0001,061078,2007,10,49.4,Y
IDCJAC0001,061078,2007,11,104.0,Y
IDCJAC0001,061078,2007,12,85.2,Y
IDCJAC0001,061078,2008,01,181.4,Y
IDCJAC0001,061078,2008,02,222.6,Y
IDCJAC0001,061078,2008,03,64.0,Y
IDCJAC0001,061078,2008,04,256.6,Y
IDCJAC0001,061078,2008,05,35.8,Y
IDCJAC0001,061078,2008,06,142.6,Y
IDCJAC0001,061078,2008,07,92.8,Y
IDCJAC0001,061078,2008,08,34.0,Y
IDCJAC0001,061078,2008,09,179.2,Y
IDCJAC0001,061078,2008,10,76.2,Y
IDCJAC0001,061078,2008,11,88.2,Y
IDCJAC0001,061078,2008,12,90.2,Y
IDCJAC0001,061078,2009,01,20.6,Y
IDCJAC0001,061078,2009,02,229.8,Y
IDCJAC0001,061078,2009,03,49.2,Y
IDCJAC0001,061078,2009,04,196.2,Y
IDCJAC0001,061078,2009,05,153.0,Y
IDCJAC0001,061078,2009,06,112.6,Y
IDCJAC0001,061078,2009,07,50.2,Y
IDCJAC0001,061078,2009,08,1.0,Y
IDCJAC0001,061078,2009,09,20.2,Y
IDCJAC0001,061078,2009,12,61.4,Y
IDCJAC0001,061078,2010,01,56.6,Y
IDCJAC0001,061078,2010,02,33.8,Y
IDCJAC0001,061078,2010,03,151.6,Y
IDCJAC0001,061078,2010,04,26.0,Y
IDCJAC0001,061078,2010,05,123.0,Y
IDCJAC0001,061078,2010,06,132.4,Y
IDCJAC0001,061078,2010,07,116.4,Y
IDCJAC0001,061078,2010,08,48.6,Y
IDCJAC0001,061078,2010,09,22.2,N
IDCJAC0001,061078,2010,10,75.0,Y
IDCJAC0001,061078,2010,11,116.2,Y
IDCJAC0001,061078,2010,12,54.4,Y
IDCJAC0001,061078,2011,01,30.8,Y
IDCJAC0001,061078,2011,02,43.0,Y
IDCJAC0001,061078,2011,03,60.8,Y
IDCJAC0001,061078,2011,04,186.2,Y
IDCJAC0001,061078,2011,05,152.6,Y
IDCJAC0001,061078,2011,06,176.4,Y
IDCJAC0001,061078,2011,07,154.0,Y
IDCJAC0001,061078,2011,08,54.8,Y
IDCJAC0001,061078,2011,09,84.6,Y
IDCJAC0001,061078,2011,10,91.2,Y
IDCJAC0001,061078,2011,11,128.2,Y
IDCJAC0001,061078,2011,12,92.4,Y
IDCJAC0001,061078,2012,01,59.0,Y
IDCJAC0001,061078,2012,02,154.2,Y
IDCJAC0001,061078,2012,03,107.2,Y
IDCJAC0001,061078,2012,04,207.6,N
IDCJAC0001,061078,2012,05,57.2,N
IDCJAC0001,061078,2012,06,101.0,N
IDCJAC0001,061078,2012,07,96.4,N
IDCJAC0001,061078,2012,08,57.8,N
IDCJAC0001,061078,2012,09,17.6,N
IDCJAC0001,061078,2012,10,14.0,N
IDCJAC0001,061078,2012,11,37.2,N
IDCJAC0001,061078,2012,12,79.6,N
IDCJAC0001,061078,2013,01,203.4,N
