Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,061078,1958,06,127.8,Y
IDCJAC0001,061078,1958,07,25.2,Y
IDCJAC0001,061078,1958,08,71.4,Y
IDCJAC0001,061078,1958,09,80.4,Y
IDCJAC0001,061078,1958,10,91.9,Y
IDCJAC0001,061078,1958,11,24.1,Y
IDCJAC0001,061078,1958,12,162.5,Y
IDCJAC0001,061078,1959,01,115.2,Y
IDCJAC0001,061078,1959,02,117.4,Y
IDCJAC0001,061078,1959,03,141.0,Y
IDCJAC0001,061078,1959,04,62.6,Y
IDCJAC0001,061078,1959,05,126.3,Y
IDCJAC0001,061078,1959,06,130.8,Y
IDCJAC0001,061078,1959,07,124.1,Y
IDCJAC0001,061078,1959,08,167.7,Y
IDCJAC0001,061078,1959,09,49.7,Y
IDCJAC0001,061078,1959,10,198.0,Y
IDCJAC0001,061078,1959,11,93.7,Y
IDCJAC0001,061078,1959,12,109.7,Y
IDCJAC0001,061078,1960,01,64.2,Y
IDCJAC0001,061078,1960,02,100.0,Y
IDCJAC0001,061078,1960,03,86.2,Y
IDCJAC0001,061078,1960,04,42.6,Y
IDCJAC0001,061078,1960,05,117.5,Y
IDCJAC0001,061078,1960,06,320.3,Y
IDCJAC0001,061078,1960,07,30.7,Y
IDCJAC0001,061078,1960,08,42.6,Y
IDCJAC0001,061078,1960,09,59.4,Y
IDCJAC0001,061078,1960,10,111.0,Y
IDCJAC0001,061078,1960,11,81.6,Y
IDCJAC0001,061078,1960,12,188.6,Y
IDCJAC0001,061078,1961,01,106.3,Y
IDCJAC0001,061078,1961,02,85.5,Y
IDCJAC0001,061078,1961,03,75.1,Y
IDCJAC0001,061078,1961,04,100.9,Y
IDCJAC0001,061078,1961,05,45.4,Y
IDCJAC0001,061078,1961,06,44.8,Y
IDCJAC0001,061078,1961,07,25.8,Y
IDCJAC0001,061078,1961,08,151.1,Y
IDCJAC0001,061078,1961,09,29.5,Y
IDCJAC0001,061078,1961,10,43.9,Y
IDCJAC0001,061078,1961,11,155.0,Y
IDCJAC0001,061078,1961,12,125.4,Y
IDCJAC0001,061078,1962,01,91.5,Y
IDCJAC0001,061078,1962,02,221.7,Y
IDCJAC0001,061078,1962,03,148.0,Y
IDCJAC0001,061078,1962,04,113.1,Y
IDCJAC0001,061078,1962,05,235.5,Y
IDCJAC0001,061078,1962,06,20.9,Y
IDCJAC0001,061078,1962,07,73.9,Y
IDCJAC0001,061078,1962,08,52.8,Y
IDCJAC0001,061078,1962,09,100.2,Y
IDCJAC0001,061078,1962,10,48.5,Y
IDCJAC0001,061078,1962,11,13.5,Y
IDCJAC0001,061078,1962,12,209.6,Y
IDCJAC0001,061078,1963,01,101.6,Y
IDCJAC0001,061078,1963,02,18.3,Y
IDCJAC0001,061078,1963,03,398.5,Y
IDCJAC0001,061078,1963,04,361.2,Y
IDCJAC0001,061078,1963,05,198.8,Y
IDCJAC0001,061078,1963,06,222.9,Y
IDCJAC0001,061078,1963,07,86.6,Y
IDCJAC0001,061078,1963,08,155.8,Y
IDCJAC0001,061078,1963,09,64.1,Y
IDCJAC0001,061078,1963,10,71.5,Y
IDCJAC0001,061078,1963,11,56.7,Y
IDCJAC0001,061078,1963,12,57.7,Y
IDCJAC0001,061078,1964,01,58.3,Y
IDCJAC0001,061078,1964,02,66.7,Y
IDCJAC0001,061078,1964,03,56.8,Y
IDCJAC0001,061078,1964,04,60.7,Y
IDCJAC0001,061078,1964,05,52.3,Y
IDCJAC0001,061078,1964,06,248.7,Y
IDCJAC0001,061078,1964,07,13.5,Y
IDCJAC0001,061078,1964,08,29.1,Y
IDCJAC0001,061078,1964,09,49.6,Y
IDCJAC0001,061078,1964,10,61.8,Y
IDCJAC0001,061078,1964,11,22.4,Y
IDCJAC0001,061078,1964,12,38.5,Y
IDCJAC0001,061078,1965,01,55.0,Y
IDCJAC0001,061078,1965,02,7.3,Y
IDCJAC0001,061078,1965,03,2.2,Y
IDCJAC0001,061078,1965,04,49.1,Y
IDCJAC0001,061078,1965,05,5.5,Y
IDCJAC0001,061078,1965,06,66.8,Y
IDCJAC0001,061078,1965,07,153.6,Y
IDCJAC0001,061078,1965,08,13.1,Y
IDCJAC0001,061078,1965,09,48.8,Y
IDCJAC0001,061078,1965,10,110.7,Y
IDCJAC0001,061078,1965,11,17.8,Y
IDCJAC0001,061078,1965,12,156.6,Y
IDCJAC0001,061078,1966,01,41.1,Y
IDCJAC0001,061078,1966,02,120.9,Y
